日期,買超/賣超,券商,張數,開盤價,收盤價,最高價,最低價
2026-06-02,買超,群益金鼎,23780,375.00,400.50,409.50,369.50
2026-06-02,買超,元大總公司,4863,375.00,400.50,409.50,369.50
2026-06-02,買超,玉山綜合證券,3897,375.00,400.50,409.50,369.50
2026-06-02,買超,兆豐,3355,375.00,400.50,409.50,369.50
2026-06-02,買超,新加坡商瑞銀,2527,375.00,400.50,409.50,369.50
2026-06-02,買超,中信託文心,1431,375.00,400.50,409.50,369.50
2026-06-02,買超,永豐總公司,1252,375.00,400.50,409.50,369.50
2026-06-02,買超,台新台北,1152,375.00,400.50,409.50,369.50
2026-06-02,買超,摩根士丹利,1088,375.00,400.50,409.50,369.50
2026-06-02,買超,花旗環球,1070,375.00,400.50,409.50,369.50
2026-06-02,買超,法銀巴黎證,405,375.00,400.50,409.50,369.50
2026-06-02,買超,永豐金匯立,382,375.00,400.50,409.50,369.50
2026-06-02,買超,台新,377,375.00,400.50,409.50,369.50
2026-06-02,買超,上海匯豐,237,375.00,400.50,409.50,369.50
2026-06-02,買超,大和國泰,178,375.00,400.50,409.50,369.50
2026-06-02,賣超,摩根大通,8716,375.00,400.50,409.50,369.50
2026-06-02,賣超,凱基台北,7868,375.00,400.50,409.50,369.50
2026-06-02,賣超,美林證券,4397,375.00,400.50,409.50,369.50
2026-06-02,賣超,富邦,3941,375.00,400.50,409.50,369.50
2026-06-02,賣超,港商麥格理,2355,375.00,400.50,409.50,369.50
2026-06-02,賣超,凱基,1476,375.00,400.50,409.50,369.50
2026-06-02,賣超,元大士林,1001,375.00,400.50,409.50,369.50
2026-06-02,賣超,國泰綜合,882,375.00,400.50,409.50,369.50
2026-06-02,賣超,統一,765,375.00,400.50,409.50,369.50
2026-06-02,賣超,中信託松江,486,375.00,400.50,409.50,369.50
2026-06-02,賣超,元大永和,477,375.00,400.50,409.50,369.50
2026-06-02,賣超,港商野村,311,375.00,400.50,409.50,369.50
2026-06-02,賣超,永昌大甲,301,375.00,400.50,409.50,369.50
2026-06-02,賣超,兆豐三民,294,375.00,400.50,409.50,369.50
2026-06-02,賣超,美商高盛,208,375.00,400.50,409.50,369.50
2026-06-03,買超,富邦,13989,408.50,417.00,438.00,393.00
2026-06-03,買超,元大總公司,10028,408.50,417.00,438.00,393.00
2026-06-03,買超,國泰綜合,4903,408.50,417.00,438.00,393.00
2026-06-03,買超,永豐總公司,3847,408.50,417.00,438.00,393.00
2026-06-03,買超,群益金鼎,3653,408.50,417.00,438.00,393.00
2026-06-03,買超,中信託文心,1546,408.50,417.00,438.00,393.00
2026-06-03,買超,摩根士丹利,966,408.50,417.00,438.00,393.00
2026-06-03,買超,華南永昌,358,408.50,417.00,438.00,393.00
2026-06-03,買超,第一金證券,234,408.50,417.00,438.00,393.00
2026-06-03,買超,彰銀台中,185,408.50,417.00,438.00,393.00
2026-06-03,買超,合庫西台,161,408.50,417.00,438.00,393.00
2026-06-03,買超,國票敦北法人,142,408.50,417.00,438.00,393.00
2026-06-03,買超,國泰敦南,138,408.50,417.00,438.00,393.00
2026-06-03,買超,第一金高雄,128,408.50,417.00,438.00,393.00
2026-06-03,買超,中國信託證,83,408.50,417.00,438.00,393.00
2026-06-03,賣超,摩根大通,12474,408.50,417.00,438.00,393.00
2026-06-03,賣超,美商高盛,10031,408.50,417.00,438.00,393.00
2026-06-03,賣超,凱基,2472,408.50,417.00,438.00,393.00
2026-06-03,賣超,新加坡商瑞銀,1944,408.50,417.00,438.00,393.00
2026-06-03,賣超,花旗環球,1590,408.50,417.00,438.00,393.00
2026-06-03,賣超,凱基台北,1398,408.50,417.00,438.00,393.00
2026-06-03,賣超,港商野村,1119,408.50,417.00,438.00,393.00
2026-06-03,賣超,台新,435,408.50,417.00,438.00,393.00
2026-06-03,賣超,港商麥格理,391,408.50,417.00,438.00,393.00
2026-06-03,賣超,元大虎尾,304,408.50,417.00,438.00,393.00
2026-06-03,賣超,統一,248,408.50,417.00,438.00,393.00
2026-06-03,賣超,永豐金匯立,246,408.50,417.00,438.00,393.00
2026-06-03,賣超,大和國泰,225,408.50,417.00,438.00,393.00
2026-06-03,賣超,富邦仁愛,218,408.50,417.00,438.00,393.00
2026-06-03,賣超,元大士林,180,408.50,417.00,438.00,393.00
